id,title,artist,release_year,link
1,Perfect,Ed Sheeran,2017,http://dl.teh-dl.ir/music96/musicazar96/Ed%20Sheeran%20-%20Perfect.mp3
2,Morghe Sahar,Mohammadreza Shajarian,1990,http://dl.teh-dl.ir/musicfarvardin95/Shajryan%20-%20Morghe%20Sahar%20320.mp3
3,Shape Of My Heart,Sting,1993,http://dl.teh-dl.ir/music97/musicmehr97/Sting%20-%20Shape%20of%20My%20Heart%20320.MP3
4,Hafteyeh Khaakestari,Farhad,1974,http://dl.teh-dl.ir/music96/musickhordad96/Farhad%20-%20Hafteyeh%20Khaakestari%20320.mp3
5,Hey You,Pink Floyd,1979,http://dl.teh-dl.ir/music97/musicmordad97/Pink%20Floyd%20%20-%20Hey%20You.mp3
6,Alpes Stories My Annette,Majid Entezami,1977,http://dl.teh-dl.ir/music96/musicazar96/Majid%20Entezami%20-%20Alps%20Stories%20My%20Annette%20320.mp3
7,Abr Mibarad,Homayoun Shajarian,2017,http://dl.teh-dl.ir/music96/musicordibehesh96/Homayoun%20Shajarian%20-%20Abr%20Mibarad.mp3
8,Gharibaneh,Homayoun Shajarian,2003,http://www.sv2.bibakmusic.com/Music/97/farvardin/3/Homayoun%20Shajarian%20Gharibaneh%20320.mp3
9,Arayeshe Ghaliz,Homayoun Shajarian,2016,http://dl.teh-dl.ir/musicfarvardin95/Homayoun%20Shajarian%20-%20Arayeshe%20Ghaliz.mp3
10,Havaye Geryeh,Homayoun Shajarian,2003,http://dl.teh-dl.ir/bahman93/Homayoun%20Shajarian%20-%20Havaye%20Geryeh%20.mp3
11,Symphony No. 5 in C Minor,Ludwig van Beethoven,1808,https://dl.songsara.net/RaMt!N/97/12-Esfand/Various%20Artists%20-%20Beethoven%20The%20Essentials%20%282016%29%20SONGSARA.NET/01%20Symphony%20No.%205%20in%20C%20Minor%2C%20Op.%2067%20_%201.%20Allegro%20con%20brio.mp3
12,Piano Sonata No. 14 in C-Sharp Minor Op. 27 No. 2 Moonlight,Ludwig van Beethoven,1801,https://dl.songsara.net/RaMt!N/97/12-Esfand/Various%20Artists%20-%20Beethoven%20The%20Essentials%20%282016%29%20SONGSARA.NET/02%20Piano%20Sonata%20No.14%20In%20C%20Sharp%20Minor%2C%20Op.27%20No.2%20-_Moonlight_%20_%201.%20Adagio%20sostenuto.mp3
13,Bagatelle No. 25 in A Minor Fur Elise,Ludwig van Beethoven,1810,https://dl.songsara.net/RaMt!N/97/12-Esfand/Various%20Artists%20-%20Beethoven%20The%20Essentials%20%282016%29%20SONGSARA.NET/05%20Bagatelle%20In%20A%20Minor%2C%20WoO%2059%20-_F%C3%BCr%20Elise_.mp3
14,Symphony No. 7 in A Major,Ludwig van Beethoven,1812,https://dl.songsara.net/RaMt!N/97/12-Esfand/Various%20Artists%20-%20Beethoven%20The%20Essentials%20%282016%29%20SONGSARA.NET/09%20Symphony%20No.%207%20in%20A%20Major%2C%20Op.%2092%20_%202.%20Allegretto.mp3
15,Symphony No.5 In E Minor,Pyotr Ilyich Tchaikovsky,1888,https://dl.songsara.net/RaMt!N/97/12-Esfand/Various%20Artists%20-%20Tchaikovsky%20The%20Essentials%20%282016%29%20SONGSARA.NET/15%20Symphony%20No.5%20In%20E%20Minor%2C%20Op.64%2C%20TH.29%20_%203.%20Valse%20%28Allegro%20moderato%29.mp3
16,Swan Lake,Pyotr Ilyich Tchaikovsky,1875,https://dl.songsara.net/RaMt!N/97/12-Esfand/Various%20Artists%20-%20Tchaikovsky%20The%20Essentials%20%282016%29%20SONGSARA.NET/02%20Swan%20Lake%20%28Suite%29%2C%20Op.20a%2C%20TH%20219%20_%201.%20Scene%20-%20Swan%20Theme.mp3
17,Serenade in G Major,Wolfgang Amadeus Mozart,1787,https://dl.songsara.net/RaMt!N/99/1-Farvardin/Various%20Artists%20-%20Mozart_%20The%20Essentials%20%282017%29%20SONGSARA.NET/01%20Serenade%20in%20G%20Major%2C%20K.%20525%20_Eine%20kleine%20Nachtmusik_%20_%201.%20Allegro.mp3
18,Piano Sonata No. 11 in A Major  Alla Turca,Wolfgang Amadeus Mozart,1778,https://dl.songsara.net/RaMt!N/99/1-Farvardin/Various%20Artists%20-%20Mozart_%20The%20Essentials%20%282017%29%20SONGSARA.NET/04%20Piano%20Sonata%20No.%2011%20in%20A%20Major%2C%20K.%20331%20_%203.%20Alla%20Turca%20%28Allegretto%29.mp3
19,Hungarian Rhapsody No.2 In C-Sharp Minor,Franz Liszt,1847,https://dl.songsara.net/RaMt!N/98/1-Farvardin/Various%20Artists%20-%20Liszt%20The%20Essentials%20%282017%29%20SONGSARA.NET/24%20Hungarian%20Rhapsody%20No.2%20In%20C-Sharp%20Minor%2C%20S.244_2.mp3
20,La Campanella,Franz Liszt,1851,https://dl.songsara.net/RaMt!N/98/1-Farvardin/Various%20Artists%20-%20Liszt%20The%20Essentials%20%282017%29%20SONGSARA.NET/03%20Grandes%20%C3%89tudes%20de%20Paganini%2C%20S.141%20_%20No.3%20In%20G-Sharp%20Minor%20_La%20Campanella_.mp3
21,Yesterday,The Beatles,1965,https://dl1.msbmusic.ir/dl1/1398/05/Singles/Beatle%20-%20Yesterday.mp3
22,Nocturnes  Op. 9: No. 2 in E-Flat Major,Frederic Chopin,1832,https://dl.songsara.net/RaMt!N/98/3-Khordad/Various%20Artists%20-%20Chopin%20The%20Essentials%20%282016%29%20SONGSARA.NET/23%20Nocturne%20No.2%20In%20E%20Flat%2C%20Op.9%20No.2.mp3
23,Nocturne No. 20 in C-Sharp Minor,Frederic Chopin,1830,https://dl.songsara.net/RaMt%21N/97/8-Aban/The%20Very%20Best%20of%20Chopin%20%282005%29%20SONGSARA.NET/CD1/08%20Nocturne%20No.%2020%20in%20C-Sharp%20Minor%2C%20Op.%20posth..mp3
24,Khiale Khoosh,Alireza Ghorbani,2020,http://dl.teh-dl.ir/music99/musicTir99/Alireza%20Ghorbani%20-%20Khiale%20Khosh.mp3
25,Rosvaye Zamaneh,Alireza Ghorbani,2009,http://dl.teh-dl.ir/musicshahrivar95/Alireza%20Ghorbani%20-%20Rosvaye%20Zamaneh.mp3
